country,country_code,continent,year,iwi,literacy,gov_edu_exp,secondary_enrol
Ecuador,ECU,America,2012,75.6,92.0,4.65310001373291,98.554801940918
Egypt,EGY,Africa,2012,84.1,74.0,3.36830472946167,74.484260559082
Gabon,GAB,Africa,2012,64.2,82.2837982177734,3.01340007781982,
Guatemala,GTM,America,2012,65.7,78.0,3.00524997711182,53.3110084533691
Honduras,HND,America,2012,65.1,85.0,6.29972791671753,64.1757583618164
Iraq,IRQ,Asia/Pacific,2012,86.4,77.0,,
Jordan,JOR,Asia/Pacific,2012,93.4,98.0,,87.2317581176758
Kuwait,KWT,Asia/Pacific,2012,94.6,96.0,,95.3978424072266
Madagascar,MDG,Africa,2012,24.9,72.0,2.46357321739197,36.904154873223
Mauritius,MUS,Africa,2012,88.9,92.0,3.41820001602173,92.1094436645508
Mexico,MEX,America,2012,77.6,94.0,4.88348007202148,90.6936187744141
Morocco,MAR,Africa,2012,82.1,69.0,5.55294847488403,68.9832611083984
Niger,NER,Africa,2012,19.9,31.0,3.1868200302124,14.6892900466919
North Macedonia,MKD,Europe,2012,90.0,97.5999984741211,,85.8300170898438
Pakistan,PAK,Asia/Pacific,2012,58.8,57.0,1.97879004478455,31.2602005004883
Palestine,PSE,Asia/Pacific,2012,87.6,96.0,4.74210977554321,87.0877532958984
Paraguay,PRY,America,2012,78.6,94.0,3.668790102005,82.5331420898438
Peru,PER,America,2012,64.2,94.0,2.92276000976562,95.9883804321289
Rwanda,RWA,Africa,2012,22.7,68.0,4.42103004455566,39.662769317627
Sao Tome & Principe,STP,Africa,2012,48.0,90.0,6.92846012115479,56.1721000671387
South Africa,ZAF,Africa,2012,69.9,94.0,5.52323007583618,92.5222702026367
Suriname,SUR,America,2012,81.9,93.0,,71.4789581298828
Tanzania,TZA,Africa,2012,25.4,78.0,4.22964286804199,
Tunisia,TUN,Africa,2012,83.0,80.0,5.95086002349854,
Turkey,TUR,Asia/Pacific,2012,86.1,95.0,4.38721990585327,85.0204315185547
Uganda,UGA,Africa,2012,27.1,70.0,1.79746997356415,25.3786694210768
Ukraine,UKR,Europe,2012,81.2,99.9743499755859,6.44269990921021,99.4775466918945
Uruguay,URY,America,2012,90.5,98.0,4.09353351593018,102.977226257324
Azerbaijan,AZE,Europe,2013,73.1,100.0,2.44213008880615,83.1376553563209
Bangladesh,BGD,Asia/Pacific,2013,39.1,61.0,1.96616005897522,57.9590161381221
Bosnia and Herzegovina,BIH,Europe,2013,93.3,97.0,,84.7301177978516
Botswana,BWA,Africa,2013,59.1,86.8231811523438,8.0172061920166,
Brazil,BRA,America,2013,90.8,91.0,5.8388500213623,103.917678833008
Dominican Republic,DOM,America,2013,76.8,91.0,3.62818145751953,79.171501159668
Ecuador,ECU,America,2013,76.5,93.0,4.92997980117798,100.659210205078
Egypt,EGY,Africa,2013,84.5,72.0,4.12252616882324,75.8195037841797
El Salvador,SLV,America,2013,68.5,87.0,3.80149006843567,73.2414321899414
Gambia,GMB,Africa,2013,50.7,41.9500503540039,1.81839001178741,
Guatemala,GTM,America,2013,65.4,77.0,2.88808989524841,53.4995193481445
Honduras,HND,America,2013,66.2,85.0,5.87492990493774,61.5013999938965
Kuwait,KWT,Asia/Pacific,2013,94.6,96.0,,92.5727386474609
Mauritania,MRT,Africa,2013,37.1,62.0,2.29354000091553,30.1454391479492
Mauritius,MUS,Africa,2013,88.9,91.0,3.56775999069214,93.7982864379883
Mexico,MEX,America,2013,77.8,94.0,4.50858020782471,93.2623062133789
Pakistan,PAK,Asia/Pacific,2013,59.7,56.0,2.23698997497559,32.1165109008871
Palestine,PSE,Asia/Pacific,2013,86.5,96.0,4.89467000961304,86.5922012329102
Paraguay,PRY,America,2013,80.5,95.0,2.67871189117432,75.3813469133564
Philippines,PHL,Asia/Pacific,2013,67.6,96.0,,
Saudi Arabia,SAU,Asia/Pacific,2013,86.4,94.0,,92.8935165405273
Senegal,SEN,Africa,2013,52.6,44.0,5.68656015396118,48.8453712463379
Sierra Leone,SLE,Africa,2013,25.5,32.4261703491211,2.3798131942749,37.9642715454102
Thailand,THA,Asia/Pacific,2013,84.7,94.0,3.82439851760864,84.6712265014648
Turkey,TUR,Asia/Pacific,2013,87.7,95.0,4.34481000900269,102.209701538086
Uruguay,URY,America,2013,89.8,98.0,4.23892021179199,104.664520263672
Angola,AGO,Africa,2014,38.0,66.0,2.9300000667572,
